opentime,initial_value,value,leverage,SL,TP,close_time,close_cause
1510772399999.0,485.243346917852,388.19467753428165,5,0.8,1.2,1510820099999.0,SL
1510812899999.0,460.9763271384902,553.1715925661882,5,0.8,1.2,1511022599999.0,TP
1510847099999.0,457.3287529482331,548.7945035378797,5,0.8,1.2,1511041499999.0,TP
1510971299999.0,434.457742013292,521.3492904159503,5,0.8,1.2,1511045999999.0,TP
1511035199999.0,440.38355824759105,528.4602698971092,5,0.8,1.2,1511072999999.0,TP
1511099099999.0,498.2741936515375,398.61935492123,5,0.8,1.2,1511236799999.0,SL
1511272799999.0,493.2824827795364,394.6259862236291,5,0.8,1.2,1511319599999.0,SL
1511357399999.0,488.3407788670509,586.0089346404611,5,0.8,1.2,1511391599999.0,TP
1511428499999.0,493.21344315858636,591.8561317903036,5,0.8,1.2,1511433899999.0,TP
1511479799999.0,498.1347268944227,398.5077815155382,5,0.8,1.2,1511486099999.0,SL
1511496899999.0,493.14441320039435,591.7732958404732,5,0.8,1.2,1511528399999.0,TP
1511535599999.0,498.06500815530785,597.6780097863694,5,0.8,1.2,1511538299999.0,TP
1511564399999.0,503.0347008066815,603.6416409680178,5,0.8,1.2,1511569799999.0,TP
1511573399999.0,508.05398105133054,406.44318484106446,5,0.8,1.2,1511576999999.0,SL
1511807399999.0,502.96429626915835,402.3714370153267,5,0.8,1.2,1511935199999.0,SL
1511953199999.0,497.9255999491339,597.5107199389607,5,0.8,1.2,1511959499999.0,TP
1512094499999.0,502.8939015854264,603.4726819025117,5,0.8,1.2,1512122399999.0,TP
1512283499999.0,507.9117769354458,609.4941323225349,5,0.8,1.2,1512303299999.0,TP
1512376199999.0,512.9797206457077,410.38377651656623,5,0.8,1.2,1512394199999.0,SL
1512589499999.0,507.840689804279,406.27255184342323,5,0.8,1.2,1512600299999.0,SL
1512611099999.0,502.7531417738197,603.3037701285837,5,0.8,1.2,1512616499999.0,TP
1512620999999.0,507.76961262243896,406.2156900979512,5,0.8,1.2,1512641699999.0,SL
1512784799999.0,502.6827766431874,603.2193319718249,5,0.8,1.2,1512798299999.0,TP
1512942299999.0,507.69854538853315,609.2382544662397,5,0.8,1.2,1512972899999.0,TP
1513231199999.0,512.76436147442,615.3172337693039,5,0.8,1.2,1513241999999.0,TP
1513235699999.0,487.12101575708425,389.69681260566745,5,0.8,1.2,1513249199999.0,SL
1513247399999.0,493.51980227519994,394.81584182015996,5,0.8,1.2,1513250999999.0,SL
1513631699999.0,508.0566645581643,609.6679974697971,5,0.8,1.2,1513637099999.0,TP
1513713599999.0,513.1260539571257,410.5008431657006,5,0.8,1.2,1513718099999.0,SL
1513844999999.0,507.98555714858315,406.38844571886654,5,0.8,1.2,1513867499999.0,SL
1513915199999.0,502.8965578370687,603.4758694044824,5,0.8,1.2,1513916099999.0,TP
1513996199999.0,507.91445969116694,609.4973516294003,5,0.8,1.2,1514003399999.0,TP
1514016899999.0,512.9824301699654,615.5789162039584,5,0.8,1.2,1514028599999.0,TP
1514057399999.0,518.1009688582013,414.4807750865611,5,0.8,1.2,1514072699999.0,SL
1514139299999.0,512.9106333521798,410.3285066817439,5,0.8,1.2,1514143799999.0,SL
1514215799999.0,507.77229462725774,609.3267535527093,5,0.8,1.2,1514231999999.0,TP
1514266199999.0,512.8388465830485,615.4066158996582,5,0.8,1.2,1514312999999.0,TP
1514286899999.0,487.1917758654303,584.6301310385163,5,0.8,1.2,1514337299999.0,TP
1514385899999.0,522.8171521338394,418.2537217070715,5,0.8,1.2,1514387699999.0,SL
1514400299999.0,517.5795699037626,414.0636559230101,5,0.8,1.2,1514429099999.0,SL
1514484899999.0,512.3944577724668,409.9155662179735,5,0.8,1.2,1514487599999.0,SL
1514501999999.0,507.26129009450216,608.7135481134026,5,0.8,1.2,1514513699999.0,TP
1514526299999.0,512.3227432470651,409.8581945976521,5,0.8,1.2,1514544299999.0,SL
1514680199999.0,481.8257074020151,578.1908488824181,5,0.8,1.2,1514681099999.0,TP
1514663999999.0,507.19029400521595,608.6283528062592,5,0.8,1.2,1514723399999.0,TP
1514938499999.0,517.0586956672572,413.6469565338058,5,0.8,1.2,1514974499999.0,SL
1514949299999.0,491.20059029693766,392.96047223755016,5,0.8,1.2,1514986199999.0,SL
1515086099999.0,506.9579541404679,405.56636331237434,5,0.8,1.2,1515094199999.0,SL
1515374099999.0,501.87924935588876,602.2550992270665,5,0.8,1.2,1515383099999.0,TP
1515440699999.0,506.88700050596174,405.5096004047694,5,0.8,1.2,1515443399999.0,SL
1515456899999.0,501.809006534893,602.1708078418716,5,0.8,1.2,1515459599999.0,TP
1515503699999.0,506.81605680209816,405.45284544167856,5,0.8,1.2,1515506399999.0,SL
1515515399999.0,501.73877354505476,602.0865282540657,5,0.8,1.2,1515531599999.0,TP
