timestamp,wallet_money,invest_money,all_money,nb_en_orders,nb_di_orders
1640476800000.0,10000,0,10000,0,0
1640477700000.0,10000,0,10000,0,0
1640478600000.0,10000,0,10000,0,0
1640479500000.0,10000,0,10000,0,0
1640480400000.0,10000,0,10000,0,0
1640481300000.0,10000,0,10000,0,0
1640482200000.0,10000,0,10000,0,0
1640483100000.0,10000,0,10000,0,0
1640484000000.0,10000,0,10000,0,0
1640484900000.0,10000,0,10000,0,0
1640485800000.0,10000,0,10000,0,0
1640486700000.0,10000,0,10000,0,0
1640487600000.0,10000,0,10000,0,0
1640488500000.0,10000,0,10000,0,0
1640489400000.0,10000,0,10000,0,0
1640490300000.0,10000,0,10000,0,0
1640491200000.0,10000,0,10000,0,0
1640492100000.0,10000,0,10000,0,0
1640493000000.0,10000,0,10000,0,0
1640493900000.0,10000,0,10000,0,0
1640494800000.0,10000,0,10000,0,0
1640495700000.0,10000,0,10000,0,0
1640496600000.0,10000,0,10000,0,0
1640497500000.0,10000,0,10000,0,0
1640498400000.0,10000,0,10000,0,0
1640499300000.0,10000,0,10000,0,0
1640500200000.0,10000,0,10000,0,0
1640501100000.0,10000,0,10000,0,0
1640502000000.0,10000,0,10000,0,0
1640502900000.0,10000,0,10000,0,0
1640503800000.0,10000,0,10000,0,0
1640504700000.0,10000,0,10000,0,0
1640505600000.0,10000,0,10000,0,0
1640506500000.0,10000,0,10000,0,0
1640507400000.0,10000,0,10000,0,0
1640508300000.0,10000,0,10000,0,0
1640509200000.0,10000,0,10000,0,0
1640510100000.0,10000,0,10000,0,0
1640511000000.0,10000,0,10000,0,0
1640511900000.0,10000,0,10000,0,0
1640512800000.0,10000,0,10000,0,0
1640513700000.0,10000,0,10000,0,0
1640514600000.0,10000,0,10000,0,0
1640515500000.0,10000,0,10000,0,0
1640516400000.0,10000,0,10000,0,0
1640517300000.0,10000,0,10000,0,0
1640518200000.0,10000,0,10000,0,0
1640519100000.0,10000,0,10000,0,0
1640520000000.0,10000,0,10000,0,0
1640520900000.0,10000,0,10000,0,0
1640521800000.0,10000,0,10000,0,0
1640522700000.0,10000,0,10000,0,0
1640523600000.0,10000,0,10000,0,0
1640524500000.0,10000,0,10000,0,0
1640525400000.0,10000,0,10000,0,0
1640526300000.0,10000,0,10000,0,0
1640527200000.0,10000,0,10000,0,0
1640528100000.0,10000,0,10000,0,0
1640529000000.0,10000,0,10000,0,0
1640529900000.0,10000,0,10000,0,0
1640530800000.0,10000,0,10000,0,0
1640531700000.0,10000,0,10000,0,0
1640532600000.0,10000,0,10000,0,0
1640533500000.0,10000,0,10000,0,0
1640534400000.0,10000,0,10000,0,0
1640535300000.0,10000,0,10000,0,0
1640536200000.0,10000,0,10000,0,0
1640537100000.0,10000,0,10000,0,0
1640538000000.0,10000,0,10000,0,0
1640538900000.0,10000,0,10000,0,0
1640539800000.0,10000,0,10000,0,0
1640540700000.0,10000,0,10000,0,0
1640541600000.0,10000,0,10000,0,0
1640542500000.0,10000,0,10000,0,0
1640543400000.0,10000,0,10000,0,0
1640544300000.0,10000,0,10000,0,0
1640545200000.0,10000,0,10000,0,0
1640546100000.0,10000,0,10000,0,0
1640547000000.0,10000,0,10000,0,0
1640547900000.0,10000,0,10000,0,0
1640548800000.0,10000,0,10000,0,0
1640549700000.0,10000,0,10000,0,0
1640550600000.0,10000,0,10000,0,0
1640551500000.0,10000,0,10000,0,0
1640552400000.0,10000,0,10000,0,0
1640553300000.0,10000,0,10000,0,0
1640554200000.0,10000,0,10000,0,0
1640555100000.0,10000,0,10000,0,0
1640556000000.0,10000,0,10000,0,0
1640556900000.0,10000,0,10000,0,0
1640557800000.0,10000,0,10000,0,0
1640558700000.0,10000,0,10000,0,0
1640559600000.0,10000,0,10000,0,0
1640560500000.0,10000,0,10000,0,0
1640561400000.0,10000,0,10000,0,0
1640562300000.0,10000,0,10000,0,0
1640563200000.0,10000,0,10000,0,0
1640564100000.0,10000,0,10000,0,0
1640565000000.0,10000,0,10000,0,0
1640565900000.0,10000,0,10000,0,0
1640566800000.0,10000,0,10000,0,0
1640567700000.0,10000,0,10000,0,0
1640568600000.0,10000,0,10000,0,0
1640569500000.0,10000,0,10000,0,0
1640570400000.0,10000,0,10000,0,0
1640571300000.0,10000,0,10000,0,0
1640572200000.0,10000,0,10000,0,0
1640573100000.0,10000,0,10000,0,0
1640574000000.0,10000,0,10000,0,0
1640574900000.0,10000,0,10000,0,0
1640575800000.0,10000,0,10000,0,0
1640576700000.0,10000,0,10000,0,0
1640577600000.0,10000,0,10000,0,0
1640578500000.0,10000,0,10000,0,0
1640579400000.0,10000,0,10000,0,0
1640580300000.0,10000,0,10000,0,0
1640581200000.0,10000,0,10000,0,0
1640582100000.0,10000,0,10000,0,0
1640583000000.0,10000,0,10000,0,0
1640583900000.0,10000,0,10000,0,0
1640584800000.0,10000,0,10000,0,0
1640585700000.0,10000,0,10000,0,0
1640586600000.0,10000,0,10000,0,0
1640587500000.0,10000,0,10000,0,0
1640588400000.0,10000,0,10000,0,0
1640589300000.0,10000,0,10000,0,0
1640590200000.0,10000,0,10000,0,0
1640591100000.0,10000,0,10000,0,0
1640592000000.0,10000,0,10000,0,0
1640592900000.0,10000,0,10000,0,0
1640593800000.0,10000,0,10000,0,0
1640594700000.0,10000,0,10000,0,0
1640595600000.0,10000,0,10000,0,0
1640596500000.0,10000,0,10000,0,0
1640597400000.0,10000,0,10000,0,0
1640598300000.0,10000,0,10000,0,0
1640599200000.0,10000,0,10000,0,0
1640600100000.0,10000,0,10000,0,0
1640601000000.0,10000,0,10000,0,0
1640601900000.0,10000,0,10000,0,0
1640602800000.0,10000,0,10000,0,0
1640603700000.0,10000,0,10000,0,0
1640604600000.0,10000,0,10000,0,0
1640605500000.0,10000,0,10000,0,0
1640606400000.0,10000,0,10000,0,0
1640607300000.0,10000,0,10000,0,0
1640608200000.0,10000,0,10000,0,0
1640609100000.0,10000,0,10000,0,0
1640610000000.0,10000,0,10000,0,0
1640610900000.0,10000,0,10000,0,0
1640611800000.0,10000,0,10000,0,0
