opentime,initial_value,value,leverage,SL,TP,close_time,close_cause
1628315999999.0,498.9759465919774,548.8735412511752,1,0.8,1.1,1628897399999.0,TP
1628543699999.0,502.9047670326195,553.1952437358815,1,0.8,1.1,1630409399999.0,TP
1630041299999.0,505.19268796046447,555.711956756511,1,0.8,1.1,1630419299999.0,TP
1631251799999.0,535.3622725881763,428.28981807054106,1,0.8,1.1,1632257999999.0,SL
1631252699999.0,508.58880533604156,406.87104426883326,1,0.8,1.1,1632259799999.0,SL
1632303899999.0,524.9039706895313,577.3943677584845,1,0.8,1.1,1633085099999.0,TP
1637307899999.0,429.6481833855608,472.61300172411694,1,0.8,1.1,1637846099999.0,TP
1637285399999.0,452.2660063638152,497.4926070001968,1,0.8,1.1,1637856899999.0,TP
1635936299999.0,527.5174675595946,422.0139740476757,1,0.8,1.1,1638595799999.0,SL
1636865999999.0,476.07449169340225,380.8595933547218,1,0.8,1.1,1638595799999.0,SL
1638565199999.0,456.65705711457736,502.32276282603516,1,0.8,1.1,1638827099999.0,TP
1636723799999.0,501.1363190069393,400.90905520555145,1,0.8,1.1,1641422699999.0,SL
1638918899999.0,499.0664022363965,399.25312178911724,1,0.8,1.1,1641440699999.0,SL
1641716099999.0,514.1081986885179,411.2865589508143,1,0.8,1.1,1642806899999.0,SL
1643134499999.0,508.9578627540563,559.853649029462,1,0.8,1.1,1643685299999.0,TP
1644373799999.0,511.49196395270866,409.19357116216696,1,0.8,1.1,1645672499999.0,SL
1645704899999.0,506.36783745783043,557.0046212036135,1,0.8,1.1,1645733699999.0,TP
1647394199999.0,508.889042920533,559.7779472125864,1,0.8,1.1,1647618299999.0,TP
1647499499999.0,483.4395018840771,531.7834520724849,1,0.8,1.1,1648080899999.0,TP
1648347299999.0,513.8298467451151,565.2128314196267,1,0.8,1.1,1648555199999.0,TP
1650939299999.0,516.3882055520589,413.11056444164717,1,0.8,1.1,1652093099999.0,SL
1651251599999.0,490.5636313924005,392.45090511392044,1,0.8,1.1,1652126399999.0,SL
1654697699999.0,506.3005620495494,405.0404496396395,1,0.8,1.1,1655001899999.0,SL
1655878499999.0,501.228443018937,551.3512873208308,1,0.8,1.1,1656071099999.0,TP
1656863099999.0,454.6013929348904,500.06153222837946,1,0.8,1.1,1656979199999.0,TP
1657730699999.0,434.0170419582648,477.41874615409137,1,0.8,1.1,1657819799999.0,TP
1657502999999.0,456.8648532703132,502.5513385973445,1,0.8,1.1,1657916999999.0,TP
1656113399999.0,503.72405943672834,554.0964653804012,1,0.8,1.1,1657988099999.0,TP
1656293399999.0,478.53281922429755,526.3861011467274,1,0.8,1.1,1658122199999.0,TP
1658532599999.0,515.3138777273474,566.8452655000822,1,0.8,1.1,1659022199999.0,TP
1660501799999.0,491.9804654520689,393.58437236165514,1,0.8,1.1,1661029199999.0,SL
1660182299999.0,517.8796255245518,414.3037004196415,1,0.8,1.1,1661556599999.0,SL
1660840199999.0,467.3765223748109,373.90121789984875,1,0.8,1.1,1661730299999.0,SL
